Diameter_um,TerminalVelocity_m_s
5,0.0007839988478261648
6,0.0011230413721360253
7,0.0015228314813607612
8,0.001983369175500373
9,0.002504654454554861
10,0.0030866873185242246
11,0.0037294677674084642
12,0.004432995801207579
13,0.00519727141992157
14,0.006022294623550437
15,0.006908065412094179
16,0.007854583785552796
17,0.008861849743926292
18,0.00992986328721466
19,0.011058624415417904
20,0.012213879089297748
21,0.013450412723333166
22,0.014745032431698373
23,0.016097831201992242
24,0.017508815761702767
25,0.01897791306163144
26,0.020504976586115872
27,0.02208979238262436
28,0.02373208476065173
29,0.025431521642572556
30,0.027187719567458725
31,0.02900024835881376
32,0.030868635472220154
33,0.03279237004110018
34,0.034770906639379276
35,0.03680366877953231
36,0.03889005216371627
37,0.04102942770469196
38,0.043221144332158394
39,0.04546453159904419
40,0.047758902101263434
41,0.050103553723468516
42,0.05249777172243047
43,0.05494083065884255
44,0.0574319961875799
45,0.05997052671574654
46,0.0625556749371978
47,0.06518668925163483
48,0.06786281507582594
49,0.07058329605400573
50,0.0733473751740432
51,0.07615429579553928
52,0.07900330259561719
53,0.08189364243780245
54,0.08482456516904137
55,0.08779532434959186
56,0.09080517792021868
57,0.09385338881084673
58,0.09693922549456835
59,0.10006196249065141
60,0.10322088081997226
61,0.10641526841608032
62,0.10964442049490174
63,0.11290763988590097
64,0.1162042373273447
65,0.11953353172814427
66,0.12289485039860022
67,0.1262875292522257
68,0.1297109129806878
69,0.13316435520378114
70,0.13664721859622111
71,0.14015887499293905
72,0.14369870547444816
73,0.1472661004337534
74,0.15086045962618458
75,0.15448119220344123
76,0.15812771673305942
77,0.16179946120442928
78,0.16549586302242136
79,0.16921636898961187
80,0.1729604352780307
81,0.1767275273912979
82,0.180517120117958
83,0.18432869747676528
84,0.1881617526546282
85,0.19201578793787022
86,0.1958903146374237
87,0.19978485300852836
88,0.2036989321654731
89,0.20763208999187807
90,0.21158387304698326
91,0.2155538364683772
92,0.21954154387156843
93,0.22354656724677785
94,0.2275684868532979
95,0.23160689111174773
96,0.23566137649452157
97,0.2397315474147144
98,0.2438170161137831
99,0.24791740254818403
100,0.25203233427521077
101,0.2561614463382393
102,0.2603043811515689
103,0.2644607883850403
104,0.26863032484858823
105,0.272812654376882
106,0.27700744771419183
107,0.28121438239960644
108,0.28543314265271963
109,0.289663419259892
110,0.293904909461184
111,0.2981573168380552
112,0.30242035120190003
113,0.3066937284835057
114,0.3109771706234883
115,0.31527040546377694
116,0.3195731666401903
117,0.32388519347616396
118,0.32820623087766015
119,0.3325360292293125
120,0.336874344291826
121,0.341220937100669
122,0.3455755738660826
123,0.34993802587442646
124,0.3543080693908822
125,0.3586854855635262
126,0.3630700603287911
127,0.3674615843183173
128,0.37185985276720557
129,0.3762646654236783
130,0.3806758264601471
131,0.38509314438569
132,0.38951643195993835
133,0.3939455061083656
134,0.39838018783898266
135,0.4028203021604223
136,0.4072656780014179
137,0.41171614813165597
138,0.4161715490840049
139,0.4206317210780993
140,0.4250965079452792
141,0.4295657570548588
142,0.4340393192417256
143,0.4385170487352479
144,0.4429988030894794
145,0.4474844431146442
146,0.4519738328098928
147,0.4564668392973076
148,0.46096333275714246
149,0.4654631863642852
150,0.46996627622592363
151,0.474472481320394
152,0.4789816834372054
153,0.4834937671182122
154,0.48800861959992636
155,0.49252613075694485
156,0.49704619304648157
157,0.5015687014539826
158,0.5060935534398088
159,0.5106206488869665
160,0.5151498900498738
161,0.5196811815041393
162,0.5242144300973419
163,0.5287495449007902
164,0.5332864371622452
165,0.5378250202595973
166,0.5423652096554618
167,0.5469069228527021
168,0.5514500793508426
169,0.5559946006033704
170,0.5605404099758908
171,0.5650874327051474
172,0.5696355958588677
173,0.5741848282964294
174,0.5787350606303276
175,0.5832862251884374
176,0.5878382559770442
177,0.5923910886446286
178,0.5969446604464095
179,0.6014989102096012
180,0.6060537782993958
181,0.6106092065856437
182,0.6151651384102249
183,0.6197215185550929
184,0.6242782932109785
185,0.628835409946746
186,0.6333928176793825
187,0.6379504666446091
188,0.6425083083681058
189,0.6470662956373293
190,0.6516243824739244
191,0.6561825241067021
192,0.6607406769451886
193,0.6652987985537173
194,0.6698568476260691
195,0.6744147839606349
196,0.6789725684361035
197,0.6835301629876545
198,0.6880875305836434
199,0.6926446352027879
200,0.6972014418118159
201,0.701757916343594
202,0.7063140256757038
203,0.7108697376094767
204,0.7154250208494609
205,0.7199798449833198
206,0.7245341804621558
207,0.7290879985812407
208,0.7336412714611589
209,0.7381939720293358
210,0.7427460740019618
211,0.7472975518662929
212,0.7518483808633235
213,0.7563985369708217
214,0.7609479968867237
215,0.7654967380128718
216,0.7700447384391048
217,0.7745919769276648
218,0.7791384328979534
219,0.7836840864115907
220,0.7882289181577968
221,0.7927729094390809
222,0.7973160421572252
223,0.8018582987995697
224,0.8063996624255862
225,0.8109401166537283
226,0.8154796456485613
227,0.8200182341081645
228,0.8245558672518
229,0.8290925308078325
230,0.8336282110019104
231,0.8381628945453984
232,0.842696568624044
233,0.847229220886889
234,0.8517608394354137
235,0.8562914128129101
236,0.8608209299940758
237,0.8653493803748288
238,0.8698767537623363
239,0.8744030403652578
240,0.8789282307841834
241,0.8834523160022861
242,0.8879752873761609
243,0.8924971366268608
244,0.8970178558311203
245,0.9015374374127729
246,0.906055874134328
247,0.9105731590887507
248,0.9150892856913981
249,0.919604247672131
250,0.9241180390675875
251,0.9286306542136303
252,0.9331420877379438
253,0.9376523345527862
254,0.9421613898479027
255,0.9466692490835809
256,0.9511759079838561
257,0.9556813625298638
258,0.9601856089533191
259,0.9646886437301525
260,0.9691904635742653
261,0.9736910654314201
262,0.978190446473272
263,0.9826886040915074
264,0.9871855358921166
265,0.991681239689794
266,0.9961757135024425
267,1.0006689555458053
268,1.0051609642282047
269,1.009651738145398
270,1.0141412760755388
271,1.0186295769742468
272,1.023116639969776
273,1.0276024643583015
274,1.0320870495992838
275,1.0365703953109497
276,1.041052501265868
277,1.0455333673865996
278,1.050012993741473
279,1.0544913805404132
280,1.058968528130897
281,1.0634444369939557
282,1.0679191077402987
283,1.0723925411064952
284,1.076864737951248
285,1.0813356992517458
286,1.0858054261000916
287,1.0902739196998108
288,1.0947411813624295
289,1.0992072125041243
290,1.103672014642463
291,1.108135589393182
292,1.1125979384670646
293,1.117059063666866
294,1.1215189668843202
295,1.1259776500971905
296,1.1304351153664083
297,1.1348913648332524
298,1.1393464007166043
299,1.1438002253102575
300,1.148252840980277
301,1.1527042501624325
302,1.1571544553596733
303,1.161603459139665
304,1.1660512641323753
305,1.170497873027725
306,1.1749432885732622
307,1.1793875135719263
308,1.1838305508798252
309,1.1882724034040788
310,1.1927130741007208
311,1.197152565972611
312,1.2015908820674315
313,1.2060280254757063
314,1.2104639993288715
315,1.2148988067973812
316,1.2193324510888655
317,1.2237649354463203
318,1.2281962631463479
319,1.2326264374974256
320,1.2370554618382121
321,1.241483339535911
322,1.2459100739846423
323,1.2503356686038805
324,1.2547601268368969
325,1.2591834521492666
326,1.2636056480273843
327,1.2680267179770395
328,1.2724466655219884
329,1.2768654942026023
330,1.2812832075745058
331,1.2856998092072756
332,1.290115302683152
333,1.2945296915957856
334,1.2989429795490235
335,1.303355170155694
336,1.307766267036457
337,1.3121762738186513
338,1.316585194135187
339,1.3209930316234486
340,1.3253997899242453
341,1.3298054726807629
342,1.3342100835375477
343,1.3386136261395312
344,1.3430161041310515
345,1.3474175211549149
346,1.3518178808514734
347,1.3562171868577269
348,1.3606154428064567
349,1.3650126523253523
350,1.369408819036193
351,1.3738039465540248
352,1.3781980384863664
353,1.3825910984324392
354,1.3869831299824058
355,1.3913741367166446
356,1.3957641222050068
357,1.4001530900061563
358,1.4045410436668393
359,1.4089279867212576
360,1.4133139226904015
361,1.4176988550814187
362,1.4220827873870006
363,1.4264657230847877
364,1.430847665636774
365,1.435228618488744
366,1.4396085850697236
367,1.443987568791435
368,1.4483655730477627
369,1.4527426012142695
370,1.457118656647659
371,1.4614937426853283
372,1.4658678626448864
373,1.47024101982368
374,1.474613217498366
375,1.4789844589244803
376,1.4833547473360014
377,1.4877240859449572
378,1.49209247794102
379,1.4964599264911227
380,1.5008264347390847
381,1.5051920058052506
382,1.5095566427861258
383,1.5139203487540582
384,1.5182831267568788
385,1.5226449798176007
386,1.5270059109340923
387,1.5313659230787853
388,1.5357250191983773
389,1.5400832022135487
390,1.5444404750186855
391,1.548796840481619
392,1.5531523014433657
393,1.5575068607178824
394,1.561860521091816
395,1.5662132853242858
396,1.5705651561466434
397,1.5749161362622763
398,1.579266228346375
399,1.5836154350457614
400,1.5879637589786635
401,1.5923112027345532
402,1.5966577688739623
403,1.6010034599282914
404,1.6053482783996782
405,1.6096922267608085
406,1.6140353074547704
407,1.618377522894922
408,1.6227188754647284
409,1.627059367517658
410,1.6313990013770194
411,1.6357377793358625
412,1.6400757036568652
413,1.6444127765721988
414,1.6487490002834437
415,1.6530843769614785
416,1.6574189087463946
417,1.6617525977473986
418,1.6660854460427228
419,1.6704174556795597
420,1.6747486286739721
421,1.6790789670108293
422,1.6834084726437462
423,1.6877371474950087
424,1.6920649934555323
425,1.696392012384794
426,1.7007182061107933
427,1.705043576430002
428,1.7093681251073332
429,1.7136918538760955
430,1.7180147644379562
431,1.72233685846293
432,1.7266581375893324
433,1.7309786034237746
434,1.7352982575411366
435,1.7396171014845505
436,1.7439351367654012
437,1.7482523648633066
438,1.7525687872261073
439,1.7568844052698829
440,1.7611992203789464
441,1.765513233905827
442,1.769826447171327
443,1.774138861464468
444,1.778450478042555
445,1.7827612981311671
446,1.7870713229241812
447,1.7913805535837934
448,1.7956889912405511
449,1.7999966369933489
450,1.8043034919094945
451,1.808609557024717
452,1.8129148333432068
453,1.817219321837639
454,1.821523023449234
455,1.8258259390877742
456,1.83012806963166
457,1.8344294159279435
458,1.8387299787923814
459,1.843029759009478
460,1.8473287573325436
461,1.8516269744837244
462,1.8559244111540876
463,1.8602210680036415
464,1.8645169456614161
465,1.8688120447255288
466,1.8731063657631974
467,1.8773999093108702
468,1.8816926758742296
469,1.8859846659282848
470,1.8902758799174353
471,1.8945663182555428
472,1.8988559813259864
473,1.9031448694817348
474,1.9074329830454313
475,1.9117203223094617
476,1.9160068875360192
477,1.9202926789571795
478,1.924577696775001
479,1.9288619411615708
480,1.933145412259105
481,1.9374281101800161
482,1.9417100350070007
483,1.9459911867931328
484,1.9502715655619154
485,1.9545511713073913
486,1.9588300039942295
487,1.963108063557788
488,1.9673853499042155
489,1.971661862910556
490,1.9759376024247917
491,1.9802125682659835
492,1.9844867602243268
493,1.9887601780612483
494,1.9930328215095179
495,1.9973046902733145
496,2.0015757840283275
497,2.0058461024218572
498,2.0101156450729114
499,2.014384411572287
500,2.018652401482676
501,2.0229196143387496
502,2.0271860496472702
503,2.031451706887188
504,2.0357165855097272
505,2.0399806849384894
506,2.044244004569554
507,2.048506543771574
508,2.0527683018858855
509,2.0570292782265973
510,2.061289472080692
511,2.0655488827081347
512,2.0698075093419637
513,2.0740653511884046
514,2.0783224074269713
515,2.0825786772105523
516,2.0868341596655258
517,2.0910888538918706
518,2.095342758963248
519,2.099595873927131
520,2.1038481978048886
521,2.1080997295918986
522,2.1123504682576475
523,2.1166004127458353
524,2.120849561974498
525,2.125097914836078
526,2.1293454701975594
527,2.1335922269005705
528,2.137838183761466
529,2.142083339571459
530,2.146327693096709
531,2.15057124307845
532,2.1548139882330704
533,2.159055927252234
534,2.1632970588029843
535,2.167537381527851
536,2.1717768940449633
537,2.176015594948128
538,2.180253482806982
539,2.1844905561670602
540,2.188726813549925
541,2.1929622534532514
542,2.1971968743509676
543,2.2014306746933205
544,2.205663652907029
545,2.2098958073953243
546,2.21412713653815
547,2.2183576386921797
548,2.2225873121909685
549,2.22681615534507
550,2.2310441664421026
551,2.2352713437468905
552,2.2394976855015605
553,2.2437231899256465
554,2.2479478552161916
555,2.252171679547869
556,2.2563946610730685
557,2.2606167979220304
558,2.264838088202915
559,2.2690585300019417
560,2.273278121383483
561,2.2774968603901677
562,2.281714745042985
563,2.2859317733413973
564,2.2901479432634373
565,2.2943632527658395
566,2.2985776997841025
567,2.302791282232621
568,2.3070039980048
569,2.311215844973122
570,2.3154268209893143
571,2.3196369238843793
572,2.3238461514687496
573,2.328054501532385
574,2.3322619718448614
575,2.3364685601554838
576,2.3406742641933933
577,2.344879081667663
578,2.34908301026742
579,2.353286047661916
580,2.357488191500657
581,2.361689439413496
582,2.3658897890107484
583,2.3700892378832745
584,2.3742877836025786
585,2.378485423720953
586,2.382682155771548
587,2.386877977268439
588,2.391072885706807
589,2.395266878562992
590,2.399459953294585
591,2.403652107340559
592,2.407843338121343
593,2.4120336430389533
594,2.416223019477052
595,2.420411464801085
596,2.4245989763583826
597,2.428785551478206
598,2.432971187471922
599,2.437155881633035
600,2.4413396312373288
